Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/02/17, 23:39:05, 39.014874, -123.065796, 592.94,  4032.00, 340, 0, 11.05, 
2017/02/17, 23:39:10, 39.014854, -123.065811, 590.95,  1692.00, 321, 0, 2.57, 1
2017/02/17, 23:39:17, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 1.46, 
2017/02/17, 23:39:21, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:27, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:32, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:37, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:42, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:47, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:52, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:39:57, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:40:02, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:40:07, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:40:13, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
2017/02/17, 23:40:17, 39.014866, -123.065804, 591.67,  0.00, 321, 0, 0.00, 
